CASE,HFO,LSFO,LNG,HFOLNG,Persian Gulf(LNG),Persian Gulf(method),Japan(LNG),Japan(method),Singapore(LNG),Singapore(method),Valid,Explanation
257,0,0,0,20,3,Truck to Ship,1,Truck to Ship,3,Truck to Ship,TRUE,
258,0,0,0,20,3,Truck to Ship,1,Truck to Ship,3,Ship to Ship,TRUE,
259,0,0,0,20,3,Truck to Ship,1,Truck to Ship,3,Shore to Ship,TRUE,
260,0,0,0,20,3,Truck to Ship,1,Ship to Ship,0,Truck to Ship,TRUE,
261,0,0,0,20,3,Truck to Ship,1,Ship to Ship,1,Truck to Ship,TRUE,
262,0,0,0,20,3,Truck to Ship,1,Ship to Ship,1,Ship to Ship,TRUE,
263,0,0,0,20,3,Truck to Ship,1,Ship to Ship,1,Shore to Ship,TRUE,
264,0,0,0,20,3,Truck to Ship,1,Ship to Ship,3,Truck to Ship,TRUE,
265,0,0,0,20,3,Truck to Ship,1,Ship to Ship,3,Ship to Ship,TRUE,
266,0,0,0,20,3,Truck to Ship,1,Ship to Ship,3,Shore to Ship,TRUE,
267,0,0,0,20,3,Truck to Ship,1,Shore to Ship,0,Truck to Ship,TRUE,
268,0,0,0,20,3,Truck to Ship,1,Shore to Ship,1,Truck to Ship,TRUE,
269,0,0,0,20,3,Truck to Ship,1,Shore to Ship,1,Ship to Ship,TRUE,
270,0,0,0,20,3,Truck to Ship,1,Shore to Ship,1,Shore to Ship,TRUE,
271,0,0,0,20,3,Truck to Ship,1,Shore to Ship,3,Truck to Ship,TRUE,
272,0,0,0,20,3,Truck to Ship,1,Shore to Ship,3,Ship to Ship,TRUE,
273,0,0,0,20,3,Truck to Ship,1,Shore to Ship,3,Shore to Ship,TRUE,
274,0,0,0,20,3,Truck to Ship,3,Truck to Ship,0,Truck to Ship,TRUE,
275,0,0,0,20,3,Truck to Ship,3,Truck to Ship,1,Truck to Ship,TRUE,
276,0,0,0,20,3,Truck to Ship,3,Truck to Ship,1,Ship to Ship,TRUE,
277,0,0,0,20,3,Truck to Ship,3,Truck to Ship,1,Shore to Ship,TRUE,
278,0,0,0,20,3,Truck to Ship,3,Truck to Ship,3,Truck to Ship,TRUE,
279,0,0,0,20,3,Truck to Ship,3,Truck to Ship,3,Ship to Ship,TRUE,
280,0,0,0,20,3,Truck to Ship,3,Truck to Ship,3,Shore to Ship,TRUE,
281,0,0,0,20,3,Truck to Ship,3,Ship to Ship,0,Truck to Ship,TRUE,
282,0,0,0,20,3,Truck to Ship,3,Ship to Ship,1,Truck to Ship,TRUE,
283,0,0,0,20,3,Truck to Ship,3,Ship to Ship,1,Ship to Ship,TRUE,
284,0,0,0,20,3,Truck to Ship,3,Ship to Ship,1,Shore to Ship,TRUE,
285,0,0,0,20,3,Truck to Ship,3,Ship to Ship,3,Truck to Ship,TRUE,
286,0,0,0,20,3,Truck to Ship,3,Ship to Ship,3,Ship to Ship,TRUE,
287,0,0,0,20,3,Truck to Ship,3,Ship to Ship,3,Shore to Ship,TRUE,
288,0,0,0,20,3,Truck to Ship,3,Shore to Ship,0,Truck to Ship,TRUE,
289,0,0,0,20,3,Truck to Ship,3,Shore to Ship,1,Truck to Ship,TRUE,
290,0,0,0,20,3,Truck to Ship,3,Shore to Ship,1,Ship to Ship,TRUE,
291,0,0,0,20,3,Truck to Ship,3,Shore to Ship,1,Shore to Ship,TRUE,
292,0,0,0,20,3,Truck to Ship,3,Shore to Ship,3,Truck to Ship,TRUE,
293,0,0,0,20,3,Truck to Ship,3,Shore to Ship,3,Ship to Ship,TRUE,
294,0,0,0,20,3,Truck to Ship,3,Shore to Ship,3,Shore to Ship,TRUE,
295,0,0,0,20,3,Ship to Ship,0,Truck to Ship,1,Truck to Ship,TRUE,
